IDENT_PSN,FAMNO_PSN,IUNO_PSN,PERSON_NUMBER,PERS_WT
02821349,1,02,01,01525090
02824993,1,01,01,02185851
02835282,1,01,01,05440240
02835282,1,01,02,04927356
02859798,1,01,01,04670722
02859798,1,01,02,04295833
02860996,1,01,01,03890454
02861285,1,01,01,04280127
02884490,1,01,01,05562748
02884490,1,01,02,04382875
02893280,1,01,01,02241801
02897221,1,01,01,04371351
02897221,1,01,02,05377500
02901783,1,01,01,03848529
02901783,1,01,02,03317685
02901783,1,01,03,02961351
02933557,1,01,01,04649500
02933557,1,01,02,05307851
02933557,1,01,03,04626530
02933557,1,01,04,04390000
02933557,1,02,01,05025660
02945550,1,01,01,03403750
02945550,1,01,02,02836551
02955501,1,01,01,04380294
02958057,1,01,01,02660294
02980748,1,01,01,03207023
02980748,1,01,02,03091162
02981816,1,01,01,02084159
02981816,1,01,02,02316730
02981816,2,01,01,02183750
03008660,1,01,01,01783611
03008660,1,01,02,01482765
03012393,1,01,01,04647927
03012393,1,01,02,04246231
03016932,1,01,01,04647927
03016932,1,01,02,04280127
03030591,1,01,01,01230000
